id	content	answerA	answerB	answerC	answerD	Correct	tags	difficulty	type	version
1	What is the minimum barrel aging time for Brunello di Montalcino?	36 months	24 months	6 months	18 months	36 months	"wine, Italy, appellations, Tuscany, Location"	3	Multiple	11
2	What is the minimum barrel aging time for red Rioja Crianza?	6 months	18 months	9 months	12 months	6 months	"wine, Spain, appellations, Ebro and Pyrénées, RIoja, Location"	3	Multiple	11
3	What is the minimum barrel aging time for red Rioja Reserva?	12 months	18 months	9 months	6 months	12 months	"wine, Spain, appellations, Ebro and Pyrénées, Rioja, Location"	3	Multiple	11
4	What is the minimum barrel aging time for red Rioja Grand Reserva?	18 months	24 months	36 months	12 months	18 months	"wine, Spain, appellations, Ebro and Pyrénées, Rioja, Location"	3	Multiple	11
5	What wines are produced using the Solera system?	Sherry	Riesling	Madeira	Ice wine	Sherry	"wine, Spain, appellations, fortified, Sherry, Andalusia, Location"	2	Multiple	11
6	What variety cannot be used to produce Champagne?	Chenin Blanc	Chardonnay	Pinot Noir	Pinot Meunier	Chenin Blanc	"wine, France, appellations, Champagne, Location"	2	Multiple	11
7	Which of these is not a commune in Barolo?	Roero	La Morra	Diano d’Alba	Roddi	Roero	"wine, Italy, appellations, Piemonte, Location"	4	Multiple	11
8	What white grape is predominant in Burgundy?	Chardonnay	Sauvignon Blanc	Pinot Blanc	Chenin Blanc	Chardonnay	"wine, France, regions, grapes, Burgundy, Location"	1	Multiple	11
9	What grape is used to produce ice wine in Canada?	Vidal	Chenin Blanc	Grechetto	Chardonnay	Vidal	"wine, grapes, Canada, Location"	3	Multiple	11
10	What is the most southern wine region in New Zealand?	Central Otago	Hawke’s Bay	Nelson	Canterbury	Central Otago	"wine, New Zealand, regions, South Island New Zealand, Location"	3	Multiple	11
11	What is the most popular red grape variety in Argentina?	Malbec	Shiraz	Cabernet Franc	Petite Sirah	Malbec	"wine, grapes, Argentina, Location"	2	Multiple	11
12	What wines are produced in Rutherglen region in Australia?	Sweet fortified wines	Dry white wines	Sparkling wines	Big dry red wines	Sweet fortified wines	"wine, Australia, regions, Rutherglen, Victoria, fortified, Location"	3	Multiple	11
13	What is the highest quality level of wines in Burgundy?	Grand Cru	Premier Cru	Gran Reserva	VDP	Grand Cru	"wine, France, Burgundy, Location"	2	Multiple	11
14	What is the most popular red grape variety in Austria?	Zweigelt	St. Laurent	Blaufränkisch	Blauburgunder	Zweigelt	"wine, grapes, Austria, Location"	3	Multiple	11
15	What is the popular name of Blauburgunder?	Pinot Noir	Pinot Gris	Pinot Meunier	Pinot Blanc	Pinot Noir	"wine, grapes, Austria, Location"	4	Multiple	11
16	What river has the highest influence on wines in Bordeaux?	Garonne	Loire	Seine	Dordogne	Garonne	"wine, regions, France, Bordeaux, Location"	3	Multiple	11
17	What grape variety is used in Cahors AOC to produce red wines?	Malbec	Chenin Blanc	Carmenere	Chardonnay	Malbec	"wine, regions, France, appellations, South West France, grapes, Location"	3	Multiple	11
18	What is a Macvin?	Wine produced in Jura region	High quality producer from Hawke’s Bay	New type of screwdriver	Region in Southern England	Wine produced in Jura region	"wine, France, Jura, Location"	4	Multiple	11
19	How many different grapes varieties can be used in a blend of Châteauneuf-du-Pape?	less then 25	less than 6	less then 12	less then 3	less then 25	"wine, regions, France, appellations, grapes, Rhône Valley, Location"	3	Multiple	11
20	Which of these appellations is NOT most famous for its rosé wines?	Sancerre	Tavel	Lirac	Bandol	Sancerre	"wine, regions, France, appellations, Location"	3	Multiple	11
21	What grape variety is used in wines from Pouilly-Fume?	Sauvignon Blanc	Chardonnay	Chenin Blanc	Pinot Blanc	Sauvignon Blanc	"wine, regions, France, appellations, grapes, Loire Valley, Location"	2	Multiple	11
22	What grape variety is used in wines from Petit Chablis?	Chardonnay	Chenin Blanc	Chasselas	Grechetto	Chardonnay	"wine, regions, France, appellations, grapes, Burgundy, Location"	2	Multiple	11
23	What grape variety is used in wines from Saint-Bris AOC?	Sauvignon Blanc	Chardonnay	Viognier	Marsanne	Sauvignon Blanc	"wine, regions, France, appellations, grapes, Burgundy, Location"	4	Multiple	11
24	How many crus are in Beaujolais?	10	9	11	13	10	"wine, regions, France, appellations, Burgundy, Location"	3	Multiple	11
25	In which region can you find the Morgon cru? 	Beaujolais	Loire Valley	Bordeaux	Champagne	Beaujolais	"wine, regions, France, appellations, Burgundy, Location"	3	Multiple	11
26	What is the most norther cru in Beaujolais?	St. Amour	Morgon	Moulin-a-Vent	Fleurie	St. Amour	"wine, regions, France, appellations, Burgundy, Location"	4	Multiple	11
27	What is the climate of Bordeaux?	Maritime	Mediterranean	Continental	European	Maritime	"wine, regions, France, Bordeaux, Location"	3	Multiple	11
28	Which of the grapes is not used to produce wines in Bordeaux?	Zweigelt	Cabernet Franc	Merlot	Cabernet Sauvignon	Zweigelt	"wine, regions, France, grapes, Bordeaux, Location"	1	Multiple	11
29	What does Spätlese mean on a label of German wine?	This wine comes from late harvest grapes	This is a table wine	The grapes were hand picked	This is a sweet wine	This wine comes from late harvest grapes	"wine, Germany, Location"	3	Multiple	11
30	What oak is used traditionally to produce Barolo wine?	Croatian	French	Hungary	American	Croatian	"wine, Italy, Piemonte, vini, Location, production"	4	Multiple	11
31	What country is the main source of cork?	Portugal	Croatia	France	USA	Portugal	"wine, production, vini"	2	Multiple	11
32	What region is famous from wines made with Barbera grapes?	Piedmont	Tuscany	Marche	Basilicata	Piedmont	"wine, Italy, grapes, regions, Piemonte, Location"	2	Multiple	11
33	What grape variety is thick skinned?	Cabernet Sauvignon	Pinot Noir	Gamay	Torrontes	Cabernet Sauvignon	"wine, grapes"	2	Multiple	11
34	What characterise Pinot Grigio wines?	White light dry wines	White oaked full bodied dry wines	White sweet wines	Red full bodied dry wine	White light dry wines	"wine, grapes"	3	Multiple	11
35	What method is used to produce Recioto di Soave wines?	Drying grapes on straw mats	Second fermentation in the bottle	Freezing grapes	Maturation in barrels in high temperature	Drying grapes on straw mats	"wine, Italy, grapes, regions, appellations, vini, Veneto, Location, production"	3	Multiple	11
36	What is the highest quality level of wines in Wachau?	Smaragd	Auslese	Federspiel	Kremstal	Smaragd	"wine, Austria, Wachau, Location"	3	Multiple	11
37	What is the most popular name of the grape known also as Veltlínské Zelené?	Grüner Veltliner	Pinot Gris	Chenin Blanc	Sauvignon Blanc	Grüner Veltliner	"wine, grapes"	4	Multiple	11
38	What is the highest quality level of Chablis wines?	Grand Cru	Premier Cru	Opus One	Petit	Grand Cru	"wine, regions, France, appellations, Burgundy, Location"	2	Multiple	11
39	In which region Vinho Verde is produced?	Minho	Duoro	Rueda	Rias Baixas	Minho	"wine, regions, Portugal, Northern Portugal, Location"	3	Multiple	11
40	Red wines from DO Ribera del Duero need to be produced with what grapes?	Tempranillo	Grenache	Viura	Cabernet Sauvignon	Tempranillo	"wine, regions, Spain, grapes, Duero Valley, Location"	3	Multiple	11
41	What grapes can be used to produce DOC Rioja wines?	Garnacha	Sangiovese	Monastrell 	Albariño	Garnacha	"wine, Spain, appellation, regions, Ebro and Pyrénées, Rioja, Location"	3	Multiple	11
42	"What does “vieilles vignes"" mean on a label of wine?"	Old vines	Old barrels	New barrels	Ice wine	Old vines	"wine, vitis, production"	3	Multiple	11
43	What is the most northern region of Chile?	Elqui Valley	Casablanca Valley	Bio Bio	Iwata Valley	Elqui Valley	"wine, Chile, regions, Coquimbo, Location"	3	Multiple	11
44	What region in Australia is knows for its red solis?	Coonawarra	New South Wales	Margaret River	Eden Valley	Coonawarra	"wine, Australia, regions, South Australia, Location"	3	Multiple	11
45	What grape is NOT used to produce DOCG Amarone della Valpolicella?	Sangiovese	Molinara	Rondinella	Corvina	Sangiovese	"wine, Italy, appellations, Veneto, Location"	3	Multiple	11
46	In what temperature you should serve Prosecco?	8-10 Celsius degrees	4-6 Celsius degrees	18-22 Celsius degrees	12-16 Celsius degrees	8-10 Celsius degrees	"wine, somm"	2	Multiple	11
47	What grapes are used to produce Prosecco?	Glera	Viura	Garganega	Trebbiano	Glera	"wine, Italy, sparkling, grapes, Veneto, Location"	3	Multiple	11
48	What is used to produce Tequilla?	Agave	Grapes	Potatos	Wheat	Agave	spirit	2	Multiple	11
49	What is Tannat?	Grape variety	Type of oak	Region in Chile	Part of vine	Grape variety	"wine, grapes, vitis, production"	2	Multiple	11
50	Why American rootstock is used in vines?	It is immune to phylloxera	It can survive low temperatures	It can survive without water	It makes wines easier to age	It is immune to phylloxera	"wine, vitis, production"	3	Multiple	11
51	What is not a key vine input?	Sugar	Water	Nutrients	Heat	Sugar	"wine, vitis, production"	4	Multiple	11
52	At what temperature vine goes to a dormant state?	< 10	< 5	< 12	< 11	< 10	"wine, vitis, production"	3	Multiple	11
53	What does high diurnal differences in temperature cause?	Keeps freshness and high acidity	Makes skins thicker	Keeps high level of sugar	Makes vines more resistant to deseases	Keeps freshness and high acidity	"wine, vitis, production"	4	Multiple	11
54	What is the factor not affecting sunlight?	Pruning	Latitude	Aspect	Big areas of water	Pruning	"wine, vitis, production"	4	Multiple	11
55	When usually vines gives first yield after?	After 3 years of planting 	After 5 years of planting 	After 1 year of planting 	After 8 years of planting 	After 3 years of planting 	"wine, vitis, production"	3	Multiple	11
56	What does double guyot refer to?	Cane pruning	Oak toasting	Vine grafting	Vines planting	Cane pruning	"wine, vitis, production"	3	Multiple	11
57	Where one can easily find bush vines?	Barossa Valley	Marlborough	Chianti Classico	Mosel	Barossa Valley	"wine, vitis, production, Australia, South Australia, Location"	3	Multiple	11
58	Why high planting density is good?	It encourages competition for water and nutrients	It allows making more white wine	It encourages competition for sun	It makes grapes picking easier	It encourages competition for water and nutrients	"wine, vitis, production"	3	Multiple	11
59	How does canopy management affect ripeness of grapes?	It can enhance or reduce sun exposure	It encourages competition for water and nutrients	It makes red grapes ripe quicker	It makes red grapes ripe slower	It can enhance or reduce sun exposure	"wine, vitis, production"	4	Multiple	11
60	What is the name of fungal infection attacking permanent wood?	Eutypa dieback 	Pierce’s disease	Noble rot	Leafroll virus	Eutypa dieback 	"wine, vitis, production"	4	Multiple	11
61	How many litres go to a Burgundy oak barrel?	228	225	220	226	228	"wine, vini, production, Burgundy, France, Location"	3	Multiple	11
62	What is not part of a grape?	Acidity	Stem	Seeds	Pulp	Acidity	"wine, vitis, production"	3	Multiple	11
63	Which method is usually used to create rosé Champagne?	Blending	Bleeding	Drawning Off	Direct Pressing	Blending	"wine, vini, sparkling, Champagne, production, Location"	3	Multiple	11
64	What does cold maceration bring?	Greater colour and flavour extraction	Higher acidity	Rosé colour	Greater expression of terroir	Greater colour and flavour extraction	"wine, vini, production"	4	Multiple	11
65	Egg whites are used in the process of?	Fining	Filtering	Maceration	Pumping	Fining	"wine, vini, production"	3	Multiple	11
66	What does Süssreserve mean?	Unfermented grape must	German wine aged for min 2 years in oak	Austrian brandy	Region in Germany	Unfermented grape must	"wine, vini, production"	4	Multiple	11
67	What method is usually used to produce Beaujolais Nouveau wine?	Carbonic maceration	Second fermentation in the bottle	Mixing white and red wines	Adding fermented grape juice	Carbonic maceration	"wine, vini, France, regions, appellations, Burgundy, production, Location"	3	Multiple	11
68	What kind of wine are passito wines?	Sweet made with grapes dried after picking	Sweet fortified.	Sweet with added suger	Sweet sparkling wines	Sweet made with grapes dried after picking	"wine, vini, sweet, production"	3	Multiple	11
69	Freezing grapes on the vine is popular in which country?	Canada	Spain	USA	Slovenia	Canada	"wine, vini, Canada, sweet, production, Location"	2	Multiple	11
70	How does sweet food impact wine?	Increases acidity	Increases body	Increases sweetness	Increases richness	Increases acidity	"wine,somm"	4	Multiple	11
71	What is a good match for high acidic food?	High acidity wine	Foritfied wine	Sparkling wine	High tannins wine	High acidity wine	"wine,somm"	3	Multiple	11
72	How should Fumé Blanc wines be served?	Lightly chilled 10-13 C degrees	Slightly chilled 12-14 C degreed	Room temperature 18 C degrees	Well Chilled 6-8 C degrees	Lightly chilled 10-13 C degrees	"wine, somm"	3	Multiple	11
73	What is the climate in the Bordeaux region?	Moderate maritime 	Cold maritime	Hot continental	Moderate mediterranean	Moderate maritime 	"wine, France, regions, Bordeaux, Location"	3	Multiple	11
74	What are the main white grapes grown in Bordeaux?	Sauvignon Blanc & Semillon	Sauvignon Blanc & Chenin Blanc	Pinot Blanc & Silvaner	Chenin Blanc & Muscat	Sauvignon Blanc & Semillon	"wine, France, regions, grapes, Bordeaux, Location"	2	Multiple	11
75	When did Médoc wines classification happened?	1855	1895	1915	1840	1855	"wine, France, regions, appellations, Bordeaux, Location"	2	Multiple	11
76	Wine of which château was promoted from the second to the first cru in 1973?	Château Mouton Rothschild	Château Rauzan Segla	Château Haut-Brion	Château Palmer	Château Mouton Rothschild	"wine, France, regions, appellations, Bordeaux, Location"	3	Multiple	11
77	What is the number of first growths in Boreaux?	5	4	6	7	5	"wine, France, regions, Bordeaux, Location"	3	Multiple	11
78	What is the climate in Burgundy?	Moderate continental	Moderate maritime	Hot continental	Cold mediterranean 	Moderate continental	"wine, France, regions, Burgundy, Location"	3	Multiple	11
79	What is the climate in Beaujolais?	Moderate continental	Cold continental	Moderate mediterranean 	Moderate maritime	Moderate continental	"wine, France, regions, Burgundy, Location"	3	Multiple	11
80	What region is famous for its kimmeridgian clay soil?	Chablis	Bordeaux	Languedoc	Alsace	Chablis	"wine, France, regions, Burgundy, Location"	3	Multiple	11
81	What soil is typical for Beaujolais?	Granite	Clay	Slate	Kimmeridgian	Granite	"wine, France, regions, Burgundy, Location"	3	Multiple	11
